Ime sestavine, Kolicina, Enota
moke , 12.5 , g
pecilnega praška , 0.125 , kos
soli , 0.16666666666666666 , kos
jajc , 0.4166666666666667 , kos
sladkorja , 15.0 , g
vanilijeve ali kokosove arome , 0.08333333333333333 , kos
mleka , 0.006666666666666667 , l
maslo ali olje za namastitev pekača , 1 , kos
kokosovega mleka , 0.08333333333333333 , kos
sladkega kondenziranega mleka , 0.08333333333333333 , kos
mleka , 0.005 , l
sladke smetane za stepanje , 0.041666666666666664 , l
sladkorja , 0.125 , kos
kokosovi kosmiči; pražen kokoso (za posip) , 1 , kos
