Ime sestavine,Kolicina,Enota
mleka,0.0125,l
sladkorja,0.08333333333333333,kos
kocke svežega kvasa,0.041666666666666664,kos
moke,20.833333333333332,g
olja,0.008333333333333333,l
soli,0.08333333333333333,kos
skute,41.666666666666664,g
kisle smetane (mali lonček),15.0,g
sladkorja,10.0,g
vanilin sladkorja,0.16666666666666666,kos
jajci,0.16666666666666666,kos
soli,0.08333333333333333,kos
naribana lupinica ene limone,1,kos
sladke smetane,0.008333333333333333,l
jajce,0.08333333333333333,kos
sladkorja,0.08333333333333333,kos
sladkor v prahu za posip,1,kos
