Ime sestavine, Kolicina, Enota
masla , 0.5833333333333334 , kos
mleka , 0.02 , l
suhega kvasa , 0.08333333333333333 , kos
jajce , 0.08333333333333333 , kos
sladkorja , 4.166666666666667 , g
zdrobljenih kardamovih strokov , 0.16666666666666666 , kos
soli , 0.041666666666666664 , kos
bele moke , 41.666666666666664 , g
jajce za premaz , 0.08333333333333333 , kos
blanširanih mandljev , 16.666666666666668 , g
sladkorja , 0.25 , kos
drobno naribana lupinica ene limone , 1 , kos
120-240 ml mleka , 1 , kos
sladke smetane za stepanje , 0.016666666666666666 , l
sladkor v prahu za posip , 1 , kos
