Ime sestavine, Kolicina, Enota
svinjske vratovine ali stegna v kosu , 375.0 , g
sol in mleti poper , 1 , kos
korenčka , 0.5 , kos
srednje velike čebule , 0.75 , kos
kos gomoljne zelene , 1 , kos
olje po potrebi , 1 , kos
vode ali belega vina , 0.05 , l
par zrn črnega popra , 1 , kos
masla , 0.25 , kos
ostre moke , 0.25 , kos
rdečega popra v zrnu , 0.25 , kos
zelenega popra v slanici , 0.25 , kos
vode , 0.25 , l
sode bikarbone , 0.25 , kos
soli , 0.25 , kos
zamrznjenega graha , 50.0 , g
mleka , 0.025 , l
krompirjev pire (po potrebi) , 1 , kos
