Ime sestavine, Kolicina, Enota
file piščančjih prsi , 0.5 , kos
sol in poper ter poljubne začimbe , 1 , kos
olje , 1 , kos
solate ledenke , 0.25 , kos
glave mehke solate , 0.25 , kos
rdeča paprika , 0.5 , kos
majhna pločevinka koruze , 1 , kos
pločevinka fižola , 1 , kos
paradižniki , 1.5 , kos
rdeča čebula , 0.5 , kos
narezane kumare , 0.5 , kos
naribanega sira (gavda; čedar ...); , 0.25 , kos
tortilja čipsa , 1.0 , kos
načo omake za pomakanje , 1.5 , kos
jogurta , 1.0 , kos
limeta , 0.5 , kos
