Ime sestavine, Kolicina, Enota
olivnega olja , 0.5 , kos
3-4 v olje vloženi inčuni , 1 , kos
očiščenih lignjev (trupi in lovke) , 150.0 , g
česna , 0.3333333333333333 , kos
poljubna količina posušenega čilija ali feferona (lahko tudi čilijevi kosmiči) , 1 , kos
pasiranega paradižnika , 116.66666666666667 , g
suha bazilika in origano (po okusu) , 1 , kos
voda po potrebi , 1 , kos
sol in mleti poper (po okusu) , 1 , kos
poljubnih dolgih testenin (špageti; linguine; bucatini; bavette ipd.) , 75.0 , g
nasekljanega peteršilja , 0.16666666666666666 , kos
