Ime sestavine, Kolicina, Enota
olivnega olja , 0.375 , kos
manjša čebula , 0.25 , kos
česna , 0.5 , kos
zelenjavne jušne osnove (lahko tudi piščančja osnova) , 0.125 , l
paradižnika v koščkih , 0.25 , kos
paradižnikove mezge , 55.0 , g
italijanske mešanice začimb , 0.25 , kos
sol (po okusu) , 1 , kos
mleti poper ali čili (po želji) , 1 , kos
testenin (špageti; rezanci; peresniki; metuljčki ipd.) , 75.0 , g
izluščenih repkov kozic (če so zamrznjene; jih pred uporabo odmrznemo) , 112.5 , g
sveže mlade špinače , 37.5 , g
smetane za kuhanje , 0.0125 , l
limonin sok (po želji) , 1 , kos
sveže nariban parmezan (po želji) , 1 , kos
