Ime sestavine,Kolicina,Enota
čvrstega tofuja,116.66666666666667,g
koruznih kosmičev,33.333333333333336,g
čičerikine moke,16.666666666666668,g
kvasnih kosmičev,0.3333333333333333,kos
čebule v prahu,0.3333333333333333,kos
česna v prahu,0.3333333333333333,kos
rdeče paprike v prahu,0.3333333333333333,kos
kajenskega popra,0.08333333333333333,kos
soli,0.25,kos
črnega popra,0.6666666666666666,kos
sojinega mleka,0.03333333333333333,l
jabolčnega kisa,0.3333333333333333,kos
sladko-kisle omake,0.3333333333333333,kos
(veganske) majoneze (zvrhana),0.3333333333333333,kos
gorčice,0.25,kos
medu ali javorjevega sirupa,25.0,kos
