Ime sestavine, Kolicina, Enota
jajca , 0.5 , kos
sladkorja v prahu , 21.25 , g
poljubnega olja , 0.125 , kos
pinjenca (lahko uporabimo tudi kefir ali jogurt) , 0.25 , kos
jabolčnega kisa , 0.125 , kos
vanilijevega ekstrakta , 0.125 , kos
rdečega barvila (jedilna rdeča barva) , 1.25 , g
moke , 11.25 , g
nesladkanega kakava v prahu , 2.5 , g
pecilnega praška , 0.125 , kos
soli , 0.03125 , kos
kremnega sira , 13.75 , g
sladke smetane za stepanje , 0.05625 , l
sladkorja , 7.5 , g
sladka smetana za dekoracijo , 1 , kos
kandirane češnje za dekoracijo , 1 , kos
