Ime sestavine, Kolicina, Enota
mleka , 0.04666666666666666 , l
košček limonine lupinice , 1 , kos
rumenjak , 0.16666666666666666 , kos
sladkorja , 8.333333333333334 , g
škroba , 3.3333333333333335 , g
jajci , 0.3333333333333333 , kos
soli , 0.16666666666666666 , kos
sladkorja , 25.0 , g
olja , 0.013333333333333334 , l
mleka , 0.01 , l
naribana limonina lupinica , 1 , kos
večnamenske moke , 38.333333333333336 , g
pecilnega praška , 1.3333333333333333 , g
malinine marmelade , 0.6666666666666666 , kos
svežih malin , 0.16666666666666666 , kos
sladkor v prahu za posip , 1 , kos
