Ime sestavine,Kolicina,Enota
olja (+ dodatno za namastitev pekača),0.75,kos
manjša čebula,0.5,kos
česna,1.0,kos
čili (svež ali v prahu; po okusu),1,kos
sesekljanega paradižnika ali paradižnika v koščkih (1 pločevinka),200.0,g
posušenega origana,0.25,kos
tune v olju ali slanici,80.0,g
izkoščičenih zelenih ali črnih oliv,0.5,kos
skute,100.0,g
jajce,0.5,kos
sol in mleti poper (po okusu),1,kos
pšenični tortilji,1.0,kos
naribanega sira (za pico; gauda; edamec ipd.),50.0,g
kisle smetane,0.075,l
čili v prahu (po okusu),1,kos
soli,0.5,kos
voda (po potrebi),1,kos
