Ime sestavine, Kolicina, Enota
srednje velikih paprik (najboljše so sorta babura) , 2.0 , kos
olja , 0.5 , kos
srednje velika čebula , 0.25 , kos
česna , 0.5 , kos
mletega mešanega mesa , 150.0 , g
veliko jajce , 0.25 , kos
riža , 25.0 , g
sesekljanega peteršilja , 0.25 , kos
sol in poper po okusu , 1 , kos
olja , 0.5 , kos
sladkorja , 0.25 , kos
moke , 0.25 , kos
jušne osnove , 0.05 , l
pasiranega paradižnika , 0.125 , l
lovorjeva lista , 0.5 , kos
sol in mleti poper , 1 , kos
mlete paprike , 0.25 , kos
