Ime sestavine,Kolicina,Enota
svilnatega tofuja (ali 140 g indijskih oreščkov + 125 ml sojinega mleka),87.5,g
limoninega soka,0.25,kos
jabolčnega kisa,0.25,kos
soli (po okusu),0.125,kos
agavinega sirupa,0.125,kos
gorčice,0.25,kos
česna v prahu,0.125,kos
čebule v prahu,0.125,kos
čičerike (400 g),0.25,kos
2-3 žlice veganske majoneze,1,kos
manjše rdeče čebule,0.125,kos
3-4 kisle kumarice,1,kos
lista posušene nori alge,0.125,kos
limoninega soka (ali 1 žlico tekočine vloženih kumaric),0.25,kos
kvasnih kosmičev (zvrhana),0.25,kos
soli,0.125,kos
črnega popra,0.0625,kos
