Ime sestavine, Kolicina, Enota
suhega kvasa (ali 30 g svežega kvasa) , 0.08333333333333333 , kos
toplega mleka , 0.016666666666666666 , l
sladkorja , 5.0 , g
moke , 37.5 , g
masla , 4.166666666666667 , g
jajce , 0.08333333333333333 , kos
rumenjaka , 0.16666666666666666 , kos
soli , 0.16666666666666666 , kos
masla , 9.583333333333334 , g
jabolko , 0.08333333333333333 , kos
temne čokolade , 9.583333333333334 , g
mletih mandljev , 8.333333333333334 , g
mletih orehov , 16.666666666666668 , g
belega ali rjavega sladkorja , 5.0 , g
medu , 6.666666666666667 , g
mletega cimeta , 0.08333333333333333 , kos
drobno naribana lupinica (bio) pomaranče , 1 , kos
soli , 0.08333333333333333 , kos
mandljevi lističi za posip , 1 , kos
beljak , 0.08333333333333333 , kos
