Ime sestavine,Kolicina,Enota
zmehčanega masla,14.166666666666666,g
sladkorja,14.166666666666666,g
veliki jajci,0.16666666666666666,kos
vanilijeve arome,0.08333333333333333,kos
pinjenca (lahko tudi jogurt ali mleko),0.008333333333333333,l
moke,18.333333333333332,g
pecilnega praška,0.041666666666666664,kos
kakava v prahu,0.3333333333333333,kos
naribane pomarančne lupinice,0.08333333333333333,kos
soli,0.08333333333333333,kos
zmehčanega masla,16.666666666666668,g
sladkorja,13.333333333333334,g
velika jajca,0.25,kos
vanilijeve arome,0.08333333333333333,kos
mleka,0.0075,l
moke,23.333333333333332,g
pecilnega praška,0.25,kos
