Ime sestavine, Kolicina, Enota
jajci , 0.5 , kos
moke , 30.0 , g
soli , 0.25 , kos
mleka , 0.0875 , l
olje za peko palačink , 1 , kos
olja , 0.5 , kos
čebule , 0.125 , kos
mešanih svežih gob (lisičke; jurčki; kostanjevke ipd.) , 75.0 , g
česna , 0.5 , kos
svežih origanovih listkov , 0.25 , kos
skute , 25.0 , g
naribanega parmezana , 0.25 , kos
sol in mleti poper po okusu , 1 , kos
masla , 7.5 , g
moke , 7.5 , g
mleka , 0.075 , l
sol; mleti poper in muškatni orešček po okusu , 1 , kos
paradižniki , 1.0 , kos
naribanega parmezana , 0.25 , kos
olje ali maslo za namastitev pekača , 1 , kos
