Ime sestavine, Kolicina, Enota
moke , 50.0 , g
soli , 0.25 , kos
jajci , 0.5 , kos
olja , 0.25 , kos
mleka , 0.075 , l
mineralne vode (kisla voda; radenska) , 0.045 , l
olivnega olja , 0.5 , kos
srednje velika čebula , 0.25 , kos
mletega mešanega mesa , 125.0 , g
1-2 stroka česna , 1 , kos
korenček (lahko tudi bučka; paprika ipd.) , 0.25 , kos
paradižnika , 0.5 , kos
sol in mleti poper (po okusu) , 1 , kos
suhega majarona , 0.125 , kos
jajci , 0.5 , kos
kisle smetane , 0.05 , l
soli in mletega popra , 0.25 , kos
sveže naribanega parmezana za posip , 0.25 , kos
olje za peko palačink in namastitev pekača , 1 , kos
