Ime sestavine, Kolicina, Enota
olivnega olja , 0.3333333333333333 , kos
drobna čebula , 0.16666666666666666 , kos
srednje velika korenčka , 0.3333333333333333 , kos
česna , 0.3333333333333333 , kos
mletega mesa , 0.08333333333333333 , l
paradižnikovega koncentrata , 0.3333333333333333 , kos
paradižnikove mezge (pasiran paradižnik) , 116.66666666666667 , g
1-2 lovorjeva lista , 1 , kos
sol in sveže mleti poper (po okusu) , 1 , kos
posušenega origana , 0.041666666666666664 , kos
posušene bazilike , 0.08333333333333333 , kos
testenin (priporočamo; da uporabite rigatone) , 75.0 , g
naribane mocarele (ali kakšnega drugega sira; ki se dobro topi) , 41.666666666666664 , g
