Ime sestavine, Kolicina, Enota
moke , 33.333333333333336 , g
suhega kvasa (lahko tudi 15 g svežega) , 0.5833333333333334 , g
sladkorja , 8.333333333333334 , g
mlačnega mleka , 0.008333333333333333 , l
soli , 0.08333333333333333 , kos
jajce , 0.08333333333333333 , kos
hladnega masla , 12.5 , g
marelične marmelade , 16.666666666666668 , g
ruma , 0.08333333333333333 , kos
vanilijevega sladkorja , 0.16666666666666666 , kos
mletih orehov , 16.666666666666668 , g
čokolade za kuhanje (temna čokolada z vsaj 50% kakava) , 15.0 , g
masla , 6.666666666666667 , g
