Ime sestavine,Kolicina,Enota
4 kosi piščančjega prsnega fileja (polovičke piščančjih prsi brez kosti in kože),1,kos
olivnega olja + dodatno olje za namastitev pekača,0.5,kos
limoninega soka,0.5,kos
česna,0.25,kos
origana,0.25,kos
sol in mleti poper po okusu,1,kos
majhna zelena bučka; narezana na kolobarje ali polmesece,0.25,kos
majhna rumena bučka; narezana na kolobarje ali polmesece,0.25,kos
srednje velik paradižnik; razpolovljen in narezan na rezine,0.25,kos
majhna rdeča čebula; razpolovljena in narezana na rezine,0.25,kos
nadrobljenega feta sira (po želji tudi več),25.0,g
naribane mocarele,0.5,kos
