Ime sestavine,Kolicina,Enota
polnozrnate pšenične ali pirine moke,18.333333333333332,g
pecilnega praška,0.08333333333333333,kos
sode bikarbone,0.020833333333333332,kos
soli,0.08333333333333333,kos
mletega cimeta,0.08333333333333333,kos
mletega ingverja,0.041666666666666664,kos
muškatnega oreščka,0.16666666666666666,kos
srednje veliki jajci,0.16666666666666666,kos
grškega jogurta,23.333333333333332,g
vanilijeve arome (lahko tudi pasta ali ekstrakt),0.08333333333333333,kos
mleka ali nesladkanega rastlinskega napitka,0.005,l
stopljenega kokosovega olja (ali maslo),0.005,l
javorjevega sirupa,0.01,l
večji jabolki,0.16666666666666666,kos
mandljevih lističev,0.08333333333333333,kos
ovsenih kosmičev,0.08333333333333333,kos
