Ime sestavine,Kolicina,Enota
olja,0.25,kos
srednje velike čebule,0.125,kos
srednje velika korenčka,0.5,kos
peteršiljeva korenina,0.25,kos
cvetačnih cvetk,0.25,kos
večji krompir,0.25,kos
nasekljanega peteršilja,0.25,kos
piščančje ali zelenjavne jušne osnove,0.2,l
1-2 pesti poljubnih jušnih testenin,1,kos
malo olja,1,kos
srednje velike čebule,0.125,kos
kosi piščančjih jetrc,1.0,kos
belega kruha,0.25,kos
voda ali mleko,1,kos
srednje veliko jajce,0.25,kos
nasekljanega peteršilja,0.25,kos
sol in mleti poper,1,kos
drobtin,1.0,kos
