Ime sestavine, Kolicina, Enota
masla (lahko uporabimo tudi olje) , 8.333333333333334 , g
bele čebule , 0.08333333333333333 , kos
pora (beli in svetlo zeleni del) , 0.3333333333333333 , kos
česna , 0.3333333333333333 , kos
glave ohrovta (ali 1 manjša glava ohrovta) , 0.08333333333333333 , kos
krompirja , 0.3333333333333333 , kos
oranžna korenčka , 0.3333333333333333 , kos
zelenjavne jušne osnove , 0.16666666666666666 , l
lovorjev list , 0.16666666666666666 , kos
posušenega timijana , 0.16666666666666666 , kos
posušenega majarona , 0.08333333333333333 , kos
sol in sveže mleti poper (po okusu) , 1 , kos
